Item(s),Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23,Item 24,Item 25,Item 26,Item 27,Item 28,Item 29,Item 30,Item 31,Item 32
6,Pepsi,Strawberry,flour,Apples,flour,baking powder,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,spread cheese,soda,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pastry,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Cauliflower,Milk,pastry,flour,Ghee,Oranges,Cookies,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,
9,Tumeric Powder,Milk,yogurt,jam,bottled water,soda,Mixed fruit juice,Chocolate,Sanitizer,,,,,,,,,,,,,,,,,,,,,,,
7,sour cream,pastry,Oranges,soda,waffles,Coconut Juice,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
3,Milk,cheese,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Milk,sour cream,cheese,Potato,pet food,soda,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,
9,Strawberry,Milk,butter,pastry,bread,Coffee,Chocolate,Paneer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
2,Cauliflower,sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Carrot,Tumeric Powder,cheese,frozen vegetables,Frozen Meals,mustard,bottled water,mixed fruit juice,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,,,
3,Apples,Onions,Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cauliflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Milk,curd,yogurt,sour cream,Ginger,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
2,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pepsi,bread,Bananas,Oranges,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pepsi,Bananas,cheese,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Carrot,Buns,herbs,yogurt,cheese,bread,spread cheese,soda,,,,,,,,,,,,,,,,,,,,,,,,
8,bread,Pepsi,flour,Milk,Tomato,Spices,chewing gum,Paneer,,,,,,,,,,,,,,,,,,,,,,,,
1,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cauliflower,bread,Ghee,Tonic water,Coca Cola,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bananas,Buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,bread,Pepsi,cheese,soda,Nuts,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Milk,curd,butter milk,Tea,Chocolate,Cookies,waffles,Blueberry,,,,,,,,,,,,,,,,,,,,,,,,
4,bread,Cabbage,bread,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tumeric Powder,bottled water,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,butter,yogurt,sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pet food,bottled water,Spices,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,berries,Tumeric Powder,Milk,sour cream,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cauliflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,yogurt,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,flour,Cauliflower,Milk,mixed fruit juice,Cookies,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,curd,Tonic water,waffles,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Milk,butter,cheese,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,soda,Chocolate,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Pepsi,Mango,Strawberry,Cauliflower,butter,cheese,Ginger,Potato,Buns,bread,Ghee,soda,Chocolate,,,,,,,,,,,,,,,,,,,
2,oil,mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Buns,Milk,sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Onions,yogurt,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Carrot,pet food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Apples,yogurt,cheese,frozen vegetables,Potato,pickled vegetables,Carrot,Sanitizer,napkins,,,,,,,,,,,,,,,,,,,,,,,
7,Carrot,Green Chilli,Tumeric Powder,curd,cheese,soda,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,
2,Strawberry,Apples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,yogurt,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,bread,Cauliflower,yogurt,Tea,cheese,Buns,Oranges,soda,Tonic water,Apples juice,shopping bags,,,,,,,,,,,,,,,,,,,,,
4,bread,Mango,Apples,Potato,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tumeric Powder,herbs,Cauliflower,yogurt,Apples juice,Chips,waffles,Red Chilli Powder,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
2,Coconut Juice,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,yogurt,organic products,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Pepsi,Apples,Cauliflower,yogurt,mustard,mixed fruit juice,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
2,sauces,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,bread,pastry,pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Strawberry,flour,Milk,butter milk,Tea,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
4,Garlic,ice cream,bread,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tea,cheese,Buns,sugar,Tea,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,
6,curd,sour cream,pudding powder,Chocolate,Coca Cola,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ice cream,Chocolate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,cheese,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Brocolli,Guava,Sanitizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,bottled water,soda,Mixed fruit juice,Blueberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,soda,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Apples,Cauliflower,sour cream,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Milk,butter milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pepsi,Cauliflower,ice cream,Ginger,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Cabbage,Apples,Milk,bottled water,Mixed fruit juice,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tea,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ice cream,ice cream,Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,butter,cheese,Tea,mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tea,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,bread,flour,ice cream,Buns,bread,Rice,Coca Cola,,,,,,,,,,,,,,,,,,,,,,,,,
1,Brocolli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pepsi,Strawberry,Apples,Milk,curd,Potato,Ghee,Paneer,,,,,,,,,,,,,,,,,,,,,,,,
5,Cabbage,Cauliflower,Milk,Garlic,Sanitizer,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,yogurt,Mixed fruit juice,Garlic,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Milk,yogurt,oil,bottled water,Mixed fruit juice,Chips,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,
2,yogurt,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Milk,yogurt,cheese,Buns,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Strawberry,Milk,butter milk,yogurt,baking powder,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Strawberry,flour,pasta,Ghee,sugar,baking powder,soda,,,,,,,,,,,,,,,,,,,,,,,,,
7,Carrot,Cauliflower,Milk,Oranges,Coffee,Coffee,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Milk,Sanitizer,shopping bags,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Green Chilli,Milk,frozen vegetables,spread cheese,Chocolate,Coconut Juice,Blueberry,Nuts,,,,,,,,,,,,,,,,,,,,,,,,
1,Cauliflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Milk,yogurt,Buns,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,bread,Strawberry,flour,Cauliflower,Milk,lemon,,,,,,,,,,,,,,,,,,,,,,,,,,
4,yogurt,Buns,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cauliflower,yogurt,sour cream,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,bread,Pepsi,Cauliflower,bread,flour,bottled water,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Carrot,herbs,Cauliflower,Potato,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,bread,Milk,yogurt,Potato,ice cream,ice cream,Buns,bread,bread,sugar,Coffee,bottled water,soda,Mixed fruit juice,Chocolate,,,,,,,,,,,,,,,,,
2,Chocolate,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Strawberry,flour,mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Corn,sugar,pet food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,spread cheese,Buns,bread,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Milk,Tea,bottled water,cake bar,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sanitizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Green Chilli,Strawberry,Tumeric Powder,Milk,Buns,pastry,Coffee,Rice,,,,,,,,,,,,,,,,,,,,,,,,
9,Beans,Green Chilli,Tumeric Powder,butter,flour,mixed fruit juice,Guava,Spices,napkins,,,,,,,,,,,,,,,,,,,,,,,
4,Green Chilli,Cauliflower,Milk,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Apples,Milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cauliflower,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Buns,yogurt,Buns,Corn,sauces,Coconut Juice,Cherry,,,,,,,,,,,,,,,,,,,,,,,,,
2,Buns,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Carrot,Buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Carrot,Tea,flour,Ghee,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,flour,berries,Tumeric Powder,Milk,yogurt,Garlic,Buns,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,
4,Milk,pet food,bottled water,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,bread,Beans,berries,Tumeric Powder,butter,sour cream,frozen vegetables,Potato,Buns,oil,Corn,spices,baking powder,Mixed fruit juice,waffles,napkins,,,,,,,,,,,,,,,,
2,Tea,Potato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Apples,Buns,sugar,sauces,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Apples,Tumeric Powder,Cauliflower,Milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,bread,Pepsi,Beans,Apples,yogurt,Buns,bottled water,soda,Paneer,,,,,,,,,,,,,,,,,,,,,,,
3,Pepsi,Apples,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cookies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Green Chilli,Tumeric Powder,Cauliflower,sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Potato,Coconut Juice,Sanitizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,oil,Ghee,bottled water,Red Bull Drink,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Beans,flour,Apples,Cauliflower,butter,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Potato,Buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Pepsi,Carrot,spread cheese,frozen vegetables,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Strawberry,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pepsi,Buns,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pastry,lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Carrot,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,berries,Cauliflower,Milk,sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Milk,yogurt,sour cream,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mango,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,packaged fruit/vegetables,Potato,frozen vegetables,bottled water,mixed fruit juice,snack products,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,
1,packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Buns,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Milk,butter milk,Potato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pepsi,Carrot,berries,Cauliflower,Milk,Buns,bread,Rice,Ghee,spread cheese,Beetroot,,,,,,,,,,,,,,,,,,,,,
7,bread,flour,oil,sugar,Coffee,bottled water,Chips,,,,,,,,,,,,,,,,,,,,,,,,,
2,Buns,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cauliflower,soda,Mixed fruit juice,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,bread,Buns,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,bread,Buns,salt,Tonic water,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,bread,butter,Buns,bread,Tea,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Buns,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pepsi,Coffee,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,bread,bottled water,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Milk,Ghee,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Apples,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Milk,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Potato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Buns,Tumeric Powder,Cauliflower,Milk,Buns,Ladyfinger,Ghee,Coca Cola,,,,,,,,,,,,,,,,,,,,,,,,
6,Green Chilli,Tumeric Powder,herbs,curd,Buns,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Milk,bread,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Buns,Strawberry,Cauliflower,Milk,curd,yogurt,Tea,,,,,,,,,,,,,,,,,,,,,,,,,
2,pasta,mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,flour,butter,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Milk,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Buns,soda,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,cheese,Buns,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Buns,mixed fruit juice,Cookies,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pastry,mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Carrot,Green Chilli,Milk,Coca Cola,Potato,mixed fruit juice,Pepsi,Chips,waffles,,,,,,,,,,,,,,,,,,,,,,,
6,Cauliflower,Milk,Buns,pastry,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Potato,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mango,Green Chilli,Strawberry,flour,Garlic,bottled water,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,
2,soda,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Carrot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cauliflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Onions,Milk,butter,Tomato,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,flour,Buns,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Apples,Milk,curd,sour cream,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Pepsi,Buns,flour,Garlic,mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Buns,Tumeric Powder,Cauliflower,Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Strawberry,flour,Apples,pastry,Coffee,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Milk,yogurt,Frozen Meals,bread,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tumeric Powder,Cauliflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Green Chilli,Tumeric Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Strawberry,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,snack products,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Pepsi,Mango,Cabbage,Bottleguard,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,mustard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pepsi,Carrot,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,frozen meals,Tomato,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pepsi,Strawberry,Cauliflower,yogurt,cheese,pastry,Ginger,soda,,,,,,,,,,,,,,,,,,,,,,,,
2,spread cheese,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pepsi,Buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,herbs,Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,flour,Cauliflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,bread,Beans,Buns,Strawberry,Milk,Garlic,Potato,pastry,Cherry,,,,,,,,,,,,,,,,,,,,,,,
3,Potato,Ghee,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pepsi,Cauliflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Strawberry,flour,Cauliflower,Milk,yogurt,cheese,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Apples,Tumeric Powder,butter milk,frozen vegetables,Buns,Tea,mixed fruit juice,Paneer,Tumeric Powder,,,,,,,,,,,,,,,,,,,,,,,
8,Onions,yogurt,flour,sugar,bottled water,mixed fruit juice,Red Bull Drink,Garlic,,,,,,,,,,,,,,,,,,,,,,,,
3,bread,Potato,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,bread,Tumeric Powder,Onions,Coca Cola,Guava,frozen vegetables,Instant Noodles,,,,,,,,,,,,,,,,,,,,,,,,,
2,Milk,spread cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,soda,Sanitizer,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Green Chilli,herbs,Cauliflower,Milk,ice cream,yogurt,sour cream,Guava,Potato,bread,spread cheese,pet food,soda,mixed fruit juice,,,,,,,,,,,,,,,,,,
2,bottled water,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,flour,pet food,bottled water,soda,Mixed fruit juice,Spices,Sanitizer,,,,,,,,,,,,,,,,,,,,,,,,,
2,Milk,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,yogurt,pastry,Tonic water,Red Bull Drink,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,herbs,Tea,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Milk,tea,Mixed fruit juice,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Beans,curd,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,bread,Apples,Cauliflower,Milk,butter,yogurt,mixed fruit juice,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
5,Strawberry,Milk,yogurt,Beetroot,Sanitizer,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tonic water,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cabbage,soda,Tonic water,Garlic,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,yogurt,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Green Chilli,yogurt,spread cheese,Ghee,Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,sour cream,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Apples,Tumeric Powder,Milk,sour cream,Potato,bread,flour,mixed fruit juice,napkins,,,,,,,,,,,,,,,,,,,,,,,
6,bread,Milk,Buns,pastry,soda,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Apples,yogurt,bottled water,Tonic water,chewing gum,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Strawberry,flour,sour cream,Buns,Chocolate,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Tumeric Powder,Onions,Cauliflower,Milk,sour cream,cheese,frozen meals,Buns,bread,pastry,Ginger,spread cheese,,,,,,,,,,,,,,,,,,,,
4,Pepsi,sour cream,bread,baking powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Bananas,Mango,Apples,Tumeric Powder,Cauliflower,Milk,curd,ice cream,butter milk,yogurt,Guava,bread,pastry,rice,sugar,Pet Food,Coffee,soda,mixed fruit juice,Chips,Cookies,napkins,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tumeric Powder,Tomato,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Cauliflower,Garlic,bread,jam,Coffee,bottled water,soda,mixed fruit juice,Tonic water,Red Bull Drink,shopping bags,,,,,,,,,,,,,,,,,,,,,
10,flour,Milk,spread cheese,pet food,Coffee,bottled water,soda,Tea,mixed fruit juice,shopping bags,,,,,,,,,,,,,,,,,,,,,,
3,butter,oil,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Pepsi,Apples,cheese,Buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Milk,bread,Chocolate,Garlic,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cauliflower,Milk,sour cream,cheese,bread,pet food,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,
6,Milk,yogurt,pastry,soda,Tea,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Carrot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,sour cream,cheese,ice cream,Sanitizer,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,yogurt,Tomato,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,butter milk,tea,mixed fruit juice,Mixed fruit juice,Red Bull Drink,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
4,yogurt,sour cream,cheese,ketchup,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cauliflower,Milk,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,yogurt,Buns,Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Strawberry,Milk,butter,yogurt,Ladyfinger,jam,Cherry,,,,,,,,,,,,,,,,,,,,,,,,,
2,Coca Cola,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tumeric Powder,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cauliflower,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
