item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12
Potato,Yogurt,Onions,Spinach,Ginger,Cumin Seeds,Tea Powder,Green Chili,Honey,Cauliflower,,
Mango,Coconut,Green Chili,Wheat Flour,Semolina,Potato,Cauliflower,Bell Peppers,Garlic,,,
Beetroot,Guava,Coconut,Coffee Powder,Brinjal,Ginger,Fenugreek Leaves,Mango,Cauliflower,Cumin Seeds,Coriander,
Rice,Bread,Cumin Seeds,Curd,Dals,Coffee Powder,Banana,Sooji,,,,
Yogurt,Curd,Mustard Seeds,Butter,Mango,Biscuits,Carrot,Banana,Sugar,Honey,,
Capsicum,Cooking Oil,Lassi,Bell Peppers,Salt,Coconut,Besan,Mustard Seeds,,,,
Bread,Mango,Capsicum,Carrot,Pickle,Sooji,Tea Powder,Jam,Fenugreek Leaves,Beetroot,Rice,Lassi
Yogurt,Guava,Banana,Apple,Garlic,Biscuits,Pickle,Cabbage,,,,
Coffee Powder,Cheese,Carrot,Pomegranate,Orange,Tomato,Lassi,Chili Powder,Yogurt,Cooking Oil,,
Curd,Cheese,Cauliflower,Coffee Powder,Cabbage,Apple,Guava,Mint Leaves,Honey,,,
Honey,Spinach,Bread,Lemon,Wheat Flour,Orange,Cheese,Ginger,Coriander,Cauliflower,,
Bell Peppers,Dals,Capsicum,Coffee Powder,Biscuits,Spinach,Fenugreek Leaves,,,,,
Fenugreek Leaves,Guava,Mango,Honey,Tea Powder,Carrot,Cheese,Wheat Flour,,,,
Cabbage,Semolina,Dals,Papaya,Honey,Beetroot,Bell Peppers,Ginger,Curd,Turmeric Powder,Spinach,
Curd,Papaya,Green Chili,Tea Powder,Tamarind,Wheat Flour,Capsicum,Semolina,Turmeric Powder,Mint Leaves,Mustard Seeds,Rice
Mango,Butter,Bread,Cauliflower,Okra,Yogurt,,,,,,
Carrot,Spinach,Papaya,Honey,Green Chili,Mustard Seeds,Banana,,,,,
Cumin Seeds,Beetroot,Potato,Ginger,Cabbage,Salt,Cooking Oil,Wheat Flour,Paneer,,,
Mango,Sooji,Potato,Curd,Ginger,Turmeric Powder,,,,,,
Besan,Honey,Semolina,Tea Powder,Cabbage,Okra,Biscuits,Tomato,Papaya,Fenugreek Leaves,Spinach,Carrot
Lemon,Pickle,Bell Peppers,Honey,Tea Powder,Banana,Coffee Powder,Guava,,,,
Carrot,Pickle,Ginger,Yogurt,Tomato,Bell Peppers,Coconut,,,,,
Brinjal,Yogurt,Honey,Semolina,Tea Powder,Milk,Mint Leaves,Coriander,Salt,Ginger,Potato,Curd
Ginger,Bread,Mango,Chili Powder,Guava,Biscuits,Tamarind,Garlic,Salt,,,
Pickle,Guava,Coffee Powder,Mustard Seeds,Mango,Bread,Lassi,Sooji,Tea Powder,,,
Turmeric Powder,Lemon,Besan,Cooking Oil,Wheat Flour,,,,,,,
Mustard Seeds,Garlic,Paneer,Fenugreek Leaves,Beetroot,,,,,,,
Green Chili,Lassi,Capsicum,Tomato,Papaya,Banana,Cooking Oil,Okra,Lemon,Pickle,,
Capsicum,Cauliflower,Rice,Semolina,Bell Peppers,Coffee Powder,Sooji,Onions,Orange,Tomato,Tamarind,
Spinach,Orange,Coconut,Cabbage,Tomato,Bread,Garlic,Salt,Guava,,,
Bread,Dals,Bell Peppers,Semolina,Sugar,Pomegranate,Okra,Fenugreek Leaves,Potato,Tomato,Onions,
Orange,Capsicum,Lassi,Curd,Garlic,Mustard Seeds,Tamarind,Bell Peppers,Salt,,,
Banana,Biscuits,Chili Powder,Cauliflower,Pickle,Sooji,Sugar,Lemon,Cheese,Pomegranate,Cabbage,
Pomegranate,Dals,Jam,Coffee Powder,Bread,Lemon,,,,,,
Biscuits,Coconut,Paneer,Banana,Dals,Semolina,Rice,Chili Powder,Mango,Orange,Beetroot,
Cauliflower,Mint Leaves,Ginger,Papaya,Dals,Garlic,Salt,Coffee Powder,Sugar,Apple,Carrot,Curd
Fenugreek Leaves,Okra,Orange,Wheat Flour,Tamarind,Garlic,Ginger,,,,,
Onions,Rice,Yogurt,Pomegranate,Garlic,Brinjal,Spinach,Butter,Beetroot,Tea Powder,Potato,
Banana,Mango,Rice,Sugar,Coffee Powder,Tamarind,Mint Leaves,Spinach,Bell Peppers,Turmeric Powder,,
Mustard Seeds,Papaya,Cheese,Sugar,Coriander,Banana,Semolina,Capsicum,Beetroot,,,
Pickle,Coffee Powder,Chili Powder,Rice,Tamarind,Paneer,Lemon,Milk,Sugar,Cabbage,Coconut,
Pickle,Cumin Seeds,Green Chili,Coconut,Rice,Cooking Oil,Cabbage,,,,,
Coriander,Besan,Potato,Milk,Mustard Seeds,Coconut,Tea Powder,,,,,
Mustard Seeds,Apple,Salt,Beetroot,Garlic,Fenugreek Leaves,Sugar,Bell Peppers,,,,
Green Chili,Tamarind,Ginger,Curd,Potato,Brinjal,Spinach,Jam,Onions,Mango,,
Tomato,Semolina,Cumin Seeds,Pickle,Curd,Cooking Oil,Chili Powder,Sugar,Ginger,Bell Peppers,,
Cabbage,Tea Powder,Coriander,Bell Peppers,Mango,Biscuits,Yogurt,Wheat Flour,Besan,Capsicum,Banana,
Banana,Guava,Mustard Seeds,Turmeric Powder,Biscuits,,,,,,,
Besan,Mango,Mint Leaves,Pickle,Salt,Coriander,Butter,Guava,Onions,Jam,Carrot,
Turmeric Powder,Yogurt,Brinjal,Potato,Jam,Orange,,,,,,
Semolina,Guava,Spinach,Okra,Wheat Flour,Yogurt,Turmeric Powder,Milk,Curd,Cumin Seeds,,
Chili Powder,Coffee Powder,Curd,Jam,Salt,Cabbage,Tea Powder,Tomato,Orange,Guava,Banana,
Potato,Milk,Ginger,Sooji,Spinach,Bread,Okra,Coconut,Cooking Oil,Coriander,,
Orange,Brinjal,Papaya,Salt,Fenugreek Leaves,,,,,,,
Tamarind,Butter,Capsicum,Chili Powder,Mustard Seeds,Cheese,Milk,Paneer,,,,
Honey,Papaya,Bell Peppers,Green Chili,Bread,Mango,Pomegranate,,,,,
Curd,Wheat Flour,Cheese,Papaya,Banana,Tamarind,Bell Peppers,Jam,Okra,Besan,,
Green Chili,Fenugreek Leaves,Turmeric Powder,Sooji,Coffee Powder,Besan,Capsicum,Okra,Lassi,Dals,Rice,
Spinach,Lassi,Pomegranate,Honey,Semolina,Capsicum,Tamarind,Salt,Curd,Turmeric Powder,,
Green Chili,Ginger,Honey,Jam,Papaya,Paneer,Mint Leaves,Lemon,Pomegranate,Cauliflower,Guava,
Papaya,Honey,Rice,Carrot,Guava,Lemon,,,,,,
Besan,Turmeric Powder,Yogurt,Banana,Curd,Papaya,Fenugreek Leaves,,,,,
Cooking Oil,Pomegranate,Yogurt,Wheat Flour,Tea Powder,Cauliflower,,,,,,
Orange,Bell Peppers,Coffee Powder,Honey,Banana,Milk,Chili Powder,,,,,
Bell Peppers,Orange,Mango,Cooking Oil,Bread,Okra,Onions,Garlic,Capsicum,Wheat Flour,Tomato,Cabbage
Salt,Jam,Papaya,Semolina,Yogurt,Turmeric Powder,Cheese,Tomato,,,,
Besan,Carrot,Papaya,Lemon,Chili Powder,Fenugreek Leaves,Salt,Lassi,Wheat Flour,Semolina,Mint Leaves,
Orange,Mango,Tea Powder,Honey,Coffee Powder,Capsicum,Bell Peppers,,,,,
Beetroot,Apple,Brinjal,Cumin Seeds,Lassi,Tamarind,Salt,Spinach,,,,
Turmeric Powder,Chili Powder,Fenugreek Leaves,Potato,Besan,Ginger,Mustard Seeds,Mint Leaves,Apple,Brinjal,Curd,Biscuits
Ginger,Tamarind,Spinach,Orange,Okra,Cooking Oil,Coconut,Guava,Pomegranate,,,
Onions,Fenugreek Leaves,Coriander,Brinjal,Besan,Cumin Seeds,Mango,Turmeric Powder,Mustard Seeds,Lassi,Dals,Sooji
Fenugreek Leaves,Tea Powder,Sugar,Brinjal,Sooji,Carrot,Cheese,Honey,Mango,Paneer,Semolina,
Green Chili,Turmeric Powder,Cumin Seeds,Beetroot,Cauliflower,Biscuits,Dals,Ginger,,,,
Cumin Seeds,Banana,Sooji,Chili Powder,Turmeric Powder,Potato,Coffee Powder,Honey,Dals,Mint Leaves,,
Tomato,Semolina,Beetroot,Potato,Cauliflower,,,,,,,
Cheese,Besan,Mango,Orange,Bell Peppers,Potato,Yogurt,Lemon,Salt,Coriander,Green Chili,Okra
Pickle,Sooji,Dals,Mango,Tomato,Apple,,,,,,
Brinjal,Lemon,Dals,Semolina,Cooking Oil,Milk,Orange,Spinach,Wheat Flour,Paneer,Besan,Lassi
Okra,Semolina,Jam,Pomegranate,Cheese,Sugar,Honey,Papaya,Besan,,,
Cabbage,Coriander,Lemon,Coconut,Beetroot,Tomato,Mint Leaves,Onions,Honey,Garlic,Tamarind,Spinach
Pickle,Cabbage,Wheat Flour,Semolina,Brinjal,,,,,,,
Apple,Cauliflower,Spinach,Biscuits,Lassi,Brinjal,Curd,Tea Powder,Dals,Rice,,
Milk,Coconut,Chili Powder,Rice,Cabbage,Cooking Oil,,,,,,
Pickle,Coffee Powder,Orange,Spinach,Coconut,Tea Powder,Cauliflower,Garlic,Okra,Besan,,
Pomegranate,Lemon,Ginger,Coriander,Capsicum,Beetroot,,,,,,
Brinjal,Capsicum,Mango,Tomato,Papaya,Cheese,Cumin Seeds,Lassi,Biscuits,Salt,Bread,Spinach
Bell Peppers,Banana,Curd,Salt,Spinach,Brinjal,Semolina,Mint Leaves,,,,
Sooji,Mango,Coffee Powder,Salt,Rice,Fenugreek Leaves,Cooking Oil,Coriander,,,,
Lassi,Cauliflower,Beetroot,Capsicum,Honey,Pickle,Besan,Rice,Salt,,,
Pomegranate,Besan,Tea Powder,Curd,Onions,Rice,Green Chili,Mango,Biscuits,Semolina,Cheese,Tamarind
Brinjal,Mustard Seeds,Jam,Tea Powder,Tomato,Bell Peppers,Salt,Capsicum,Rice,Banana,Coriander,Lassi
Coconut,Beetroot,Banana,Pomegranate,Milk,Coriander,,,,,,
Okra,Salt,Banana,Green Chili,Tomato,Turmeric Powder,Capsicum,,,,,
Green Chili,Brinjal,Tea Powder,Papaya,Onions,Spinach,Fenugreek Leaves,Guava,Chili Powder,Carrot,Banana,
Capsicum,Onions,Cumin Seeds,Sugar,Papaya,Butter,Wheat Flour,Brinjal,Coriander,Cabbage,,
Bread,Cabbage,Lemon,Guava,Green Chili,Rice,Apple,Orange,Cumin Seeds,Yogurt,Banana,
Chili Powder,Papaya,Sooji,Lemon,Tea Powder,Honey,Sugar,,,,,
Salt,Yogurt,Turmeric Powder,Dals,Cauliflower,Coriander,Cabbage,Garlic,Cooking Oil,Cheese,,
Onions,Yogurt,Okra,Beetroot,Sugar,Curd,Bell Peppers,,,,,
Potato,Paneer,Tomato,Besan,Tea Powder,Coconut,Sugar,Jam,Cabbage,Honey,Turmeric Powder,Okra
Guava,Milk,Salt,Cooking Oil,Papaya,Cumin Seeds,Capsicum,Ginger,Coffee Powder,,,
Spinach,Lemon,Cabbage,Onions,Semolina,Turmeric Powder,,,,,,
Papaya,Tamarind,Rice,Dals,Cheese,Guava,Carrot,Salt,,,,
Salt,Mint Leaves,Dals,Potato,Rice,Sooji,Tea Powder,,,,,
Wheat Flour,Yogurt,Spinach,Salt,Tomato,Okra,Cumin Seeds,Banana,Turmeric Powder,Mango,Carrot,Onions
Coffee Powder,Sugar,Fenugreek Leaves,Carrot,Papaya,,,,,,,
Green Chili,Rice,Capsicum,Fenugreek Leaves,Yogurt,Biscuits,Butter,Pomegranate,Dals,Beetroot,Coffee Powder,
Turmeric Powder,Potato,Coffee Powder,Butter,Sugar,Mint Leaves,,,,,,
Biscuits,Tea Powder,Paneer,Carrot,Onions,Bread,Pickle,Orange,Okra,Lassi,Tomato,
Garlic,Spinach,Rice,Brinjal,Pickle,Potato,Curd,Tea Powder,,,,
Coffee Powder,Salt,Ginger,Dals,Guava,Bell Peppers,Cumin Seeds,Milk,Rice,Semolina,Garlic,Pomegranate
Bread,Coconut,Salt,Papaya,Potato,Ginger,Okra,Honey,Fenugreek Leaves,Yogurt,Cauliflower,
Tomato,Cauliflower,Salt,Spinach,Cheese,,,,,,,
Banana,Cabbage,Mustard Seeds,Dals,Pomegranate,Mango,Onions,Besan,Sugar,,,
Fenugreek Leaves,Turmeric Powder,Garlic,Tamarind,Chili Powder,Lassi,Pomegranate,Coconut,Biscuits,,,
Carrot,Yogurt,Cauliflower,Salt,Coriander,Besan,Tea Powder,,,,,
Honey,Turmeric Powder,Pomegranate,Bread,Orange,Coriander,Sooji,,,,,
Sugar,Jam,Butter,Rice,Lassi,Banana,,,,,,
Tomato,Potato,Orange,Jam,Cheese,Mint Leaves,Yogurt,Sooji,,,,
Cauliflower,Bell Peppers,Semolina,Dals,Wheat Flour,Curd,Chili Powder,Mango,,,,
Coconut,Wheat Flour,Papaya,Cheese,Capsicum,Coffee Powder,Pickle,Turmeric Powder,,,,
Wheat Flour,Turmeric Powder,Banana,Pomegranate,Papaya,Fenugreek Leaves,Sugar,Yogurt,Apple,Carrot,Onions,Semolina
Tomato,Fenugreek Leaves,Capsicum,Potato,Apple,Green Chili,,,,,,
Salt,Cheese,Turmeric Powder,Tomato,Brinjal,Cooking Oil,Pomegranate,Sugar,Capsicum,Biscuits,,
Ginger,Capsicum,Fenugreek Leaves,Cumin Seeds,Curd,Orange,Guava,Cooking Oil,Lassi,Paneer,,
Spinach,Sugar,Honey,Mango,Carrot,,,,,,,
Coconut,Cumin Seeds,Sooji,Orange,Paneer,Pomegranate,Cooking Oil,Mango,,,,
Tea Powder,Brinjal,Guava,Bread,Sugar,Wheat Flour,Capsicum,Spinach,,,,
Salt,Lassi,Tea Powder,Cauliflower,Garlic,Curd,Milk,Dals,Rice,Potato,,
Papaya,Curd,Tomato,Spinach,Cabbage,Pomegranate,Garlic,,,,,
Apple,Tea Powder,Butter,Cumin Seeds,Mint Leaves,Mango,Pickle,Sugar,Capsicum,Potato,Cheese,Papaya
Orange,Mustard Seeds,Bell Peppers,Wheat Flour,Brinjal,Mint Leaves,Besan,Lemon,Sugar,Sooji,Green Chili,
Cauliflower,Cabbage,Tomato,Biscuits,Cumin Seeds,Green Chili,Tea Powder,Yogurt,Onions,Besan,Chili Powder,
Cabbage,Cauliflower,Tomato,Papaya,Rice,Cheese,,,,,,
Fenugreek Leaves,Honey,Cheese,Cauliflower,Spinach,,,,,,,
Rice,Butter,Cumin Seeds,Lassi,Cooking Oil,Chili Powder,Semolina,Lemon,Wheat Flour,Sugar,,
Potato,Pickle,Coffee Powder,Cabbage,Lemon,Salt,Chili Powder,Mustard Seeds,Banana,Guava,,
Cauliflower,Banana,Pickle,Biscuits,Wheat Flour,Apple,Cumin Seeds,Besan,Bread,Onions,Beetroot,
Spinach,Chili Powder,Onions,Carrot,Besan,Cheese,,,,,,
Capsicum,Sooji,Tamarind,Coconut,Okra,Onions,Lemon,Cooking Oil,Cheese,Orange,,
Carrot,Papaya,Brinjal,Green Chili,Cabbage,Biscuits,Okra,Tamarind,,,,
Cooking Oil,Papaya,Salt,Green Chili,Coconut,,,,,,,
Chili Powder,Cabbage,Salt,Carrot,Bell Peppers,Banana,Brinjal,,,,,
Curd,Semolina,Cumin Seeds,Chili Powder,Banana,Sugar,Salt,Jam,Coriander,Cauliflower,,
Honey,Bell Peppers,Papaya,Spinach,Onions,Paneer,Carrot,Sugar,Lemon,,,
Chili Powder,Banana,Mint Leaves,Coconut,Yogurt,Salt,Apple,Pickle,Butter,Bread,Cooking Oil,Curd
Tomato,Tamarind,Mango,Coconut,Cabbage,Bread,Capsicum,Milk,Mustard Seeds,Beetroot,Paneer,
Pickle,Rice,Butter,Salt,Cabbage,Garlic,Pomegranate,,,,,
Butter,Biscuits,Orange,Bell Peppers,Rice,Coconut,Onions,Salt,,,,
Cheese,Salt,Coriander,Lemon,Potato,,,,,,,
Cooking Oil,Tamarind,Yogurt,Bread,Cauliflower,Cheese,Carrot,Papaya,Lemon,,,
Spinach,Coriander,Semolina,Tamarind,Chili Powder,Milk,Wheat Flour,,,,,
Dals,Tomato,Bell Peppers,Cheese,Chili Powder,Mint Leaves,Guava,Tamarind,Cabbage,Sugar,Coriander,Curd
Cheese,Coriander,Potato,Cauliflower,Capsicum,Milk,Rice,Okra,Sugar,Cabbage,,
Ginger,Tamarind,Green Chili,Chili Powder,Cauliflower,Brinjal,Capsicum,Milk,,,,
Mint Leaves,Spinach,Cumin Seeds,Guava,Milk,Orange,Bell Peppers,Cauliflower,,,,
Rice,Garlic,Lemon,Pomegranate,Besan,Mustard Seeds,Banana,Sugar,Green Chili,Okra,Cooking Oil,
Ginger,Capsicum,Jam,Bread,Orange,Brinjal,Guava,,,,,
Sooji,Milk,Okra,Pickle,Bell Peppers,Paneer,,,,,,
Papaya,Biscuits,Banana,Ginger,Lemon,Turmeric Powder,Orange,Okra,Tomato,Yogurt,Honey,Curd
Spinach,Sugar,Potato,Guava,Coriander,Semolina,Chili Powder,Banana,,,,
Semolina,Okra,Sugar,Fenugreek Leaves,Green Chili,,,,,,,
Orange,Garlic,Ginger,Sugar,Pickle,Bread,Cooking Oil,Mustard Seeds,Cheese,Bell Peppers,,
Sugar,Jam,Wheat Flour,Lemon,Lassi,Chili Powder,Milk,,,,,
Mint Leaves,Salt,Wheat Flour,Mustard Seeds,Bread,Milk,Cooking Oil,Turmeric Powder,Carrot,Cheese,Orange,
Cauliflower,Cumin Seeds,Semolina,Tea Powder,Mango,Wheat Flour,Salt,Pickle,Lassi,Coriander,Cheese,
Bread,Bell Peppers,Turmeric Powder,Jam,Pickle,Cooking Oil,Green Chili,Wheat Flour,Brinjal,Tamarind,Besan,Sugar
Biscuits,Garlic,Cooking Oil,Pickle,Bread,Papaya,Sugar,Carrot,Yogurt,Cheese,,
Bread,Yogurt,Tea Powder,Tamarind,Tomato,Potato,Papaya,,,,,
Yogurt,Cabbage,Spinach,Besan,Guava,Cumin Seeds,Rice,,,,,
Capsicum,Mango,Dals,Wheat Flour,Apple,Beetroot,Butter,Salt,Cabbage,,,
Chili Powder,Bread,Onions,Garlic,Tea Powder,Banana,Turmeric Powder,,,,,
Yogurt,Bread,Curd,Butter,Turmeric Powder,Tamarind,,,,,,
Milk,Chili Powder,Banana,Lassi,Biscuits,Wheat Flour,Besan,Onions,,,,
Coconut,Tomato,Yogurt,Cumin Seeds,Curd,,,,,,,
Fenugreek Leaves,Jam,Bell Peppers,Beetroot,Curd,Carrot,Guava,Ginger,Orange,,,
Mint Leaves,Guava,Besan,Okra,Cabbage,Carrot,Butter,Fenugreek Leaves,Lemon,Sooji,Beetroot,
Ginger,Butter,Dals,Onions,Tamarind,Tomato,Beetroot,Green Chili,Honey,Biscuits,Wheat Flour,
Garlic,Fenugreek Leaves,Onions,Apple,Beetroot,Guava,Turmeric Powder,Orange,Sugar,Butter,Tea Powder,
Apple,Cabbage,Coriander,Pomegranate,Butter,Brinjal,Chili Powder,Pickle,Biscuits,Jam,Dals,Potato
Lemon,Turmeric Powder,Papaya,Garlic,Lassi,Mustard Seeds,Green Chili,Dals,Cooking Oil,Mango,Salt,
Tomato,Curd,Potato,Cabbage,Bell Peppers,,,,,,,
Coffee Powder,Chili Powder,Cooking Oil,Rice,Tomato,Lemon,Butter,Lassi,Dals,Sugar,Guava,
Salt,Onions,Cabbage,Lassi,Guava,Pomegranate,Besan,Chili Powder,Tamarind,Okra,Tea Powder,
Carrot,Jam,Tomato,Garlic,Salt,Fenugreek Leaves,Curd,Mint Leaves,Cooking Oil,Chili Powder,,
Coriander,Cumin Seeds,Mustard Seeds,Chili Powder,Semolina,Honey,Ginger,Bread,,,,
Garlic,Milk,Mustard Seeds,Coconut,Capsicum,Tea Powder,Carrot,Tamarind,Papaya,Fenugreek Leaves,Butter,
Papaya,Coffee Powder,Sooji,Capsicum,Besan,Sugar,Mint Leaves,Okra,Onions,Potato,,
Biscuits,Onions,Cumin Seeds,Guava,Milk,Tea Powder,Sooji,Sugar,,,,
Carrot,Semolina,Spinach,Mustard Seeds,Coffee Powder,Banana,,,,,,
Fenugreek Leaves,Jam,Sugar,Chili Powder,Orange,,,,,,,
Chili Powder,Onions,Beetroot,Cumin Seeds,Yogurt,Wheat Flour,Carrot,Bell Peppers,Garlic,Apple,Paneer,
Sugar,Semolina,Cooking Oil,Chili Powder,Salt,Coconut,Coffee Powder,Spinach,Papaya,Apple,Onions,
Cabbage,Spinach,Sugar,Guava,Wheat Flour,Mint Leaves,Pickle,,,,,
Jam,Cooking Oil,Capsicum,Chili Powder,Cabbage,Garlic,,,,,,
Sugar,Garlic,Lassi,Honey,Mint Leaves,Tamarind,Cabbage,Salt,Coriander,,,
Banana,Garlic,Papaya,Fenugreek Leaves,Potato,Okra,,,,,,
Apple,Milk,Coconut,Sugar,Cumin Seeds,Bell Peppers,Turmeric Powder,Dals,,,,
Green Chili,Sooji,Biscuits,Paneer,Apple,Brinjal,Milk,Tamarind,Coffee Powder,,,
Onions,Cheese,Milk,Jam,Garlic,Biscuits,Curd,,,,,
Chili Powder,Cauliflower,Honey,Butter,Dals,Rice,,,,,,
Coconut,Onions,Green Chili,Pomegranate,Turmeric Powder,Guava,Butter,Coriander,Chili Powder,Tomato,Biscuits,Spinach
Papaya,Okra,Sooji,Curd,Biscuits,Sugar,Rice,Lassi,Salt,,,
Green Chili,Mango,Lassi,Coconut,Okra,,,,,,,
Garlic,Apple,Onions,Wheat Flour,Brinjal,Cheese,Mango,Tea Powder,Lassi,,,
Beetroot,Sugar,Lassi,Biscuits,Sooji,Semolina,Spinach,Fenugreek Leaves,,,,
Guava,Wheat Flour,Ginger,Turmeric Powder,Carrot,Potato,Tea Powder,Curd,Lassi,Coriander,,
Pomegranate,Coriander,Orange,Apple,Mustard Seeds,Onions,,,,,,
Green Chili,Tomato,Pickle,Tamarind,Orange,Beetroot,Brinjal,Potato,,,,
Mint Leaves,Apple,Yogurt,Brinjal,Coriander,Pomegranate,Bell Peppers,Honey,,,,
Lemon,Orange,Tea Powder,Jam,Sooji,Rice,,,,,,
Cumin Seeds,Beetroot,Coconut,Bread,Cooking Oil,Capsicum,Besan,,,,,
Salt,Semolina,Cooking Oil,Cumin Seeds,Jam,,,,,,,
Capsicum,Mustard Seeds,Butter,Pomegranate,Sugar,Coconut,Pickle,Spinach,Okra,Cabbage,Bell Peppers,
Mustard Seeds,Tamarind,Curd,Yogurt,Orange,Wheat Flour,Tea Powder,,,,,
Lemon,Turmeric Powder,Bread,Pomegranate,Garlic,Coconut,Jam,,,,,
Paneer,Beetroot,Turmeric Powder,Apple,Green Chili,Mango,,,,,,
Cabbage,Jam,Sooji,Tamarind,Yogurt,Cumin Seeds,Coconut,Rice,Mint Leaves,Paneer,Lemon,Brinjal
Pomegranate,Dals,Mustard Seeds,Garlic,Salt,Onions,Rice,Coffee Powder,Mint Leaves,Biscuits,Chili Powder,Milk
Ginger,Turmeric Powder,Orange,Salt,Coffee Powder,Banana,Pomegranate,Tea Powder,,,,
Yogurt,Wheat Flour,Jam,Mango,Banana,Brinjal,Mint Leaves,Butter,,,,
Sugar,Orange,Chili Powder,Cabbage,Mint Leaves,Salt,Paneer,Tamarind,Tomato,Jam,,
Wheat Flour,Rice,Milk,Onions,Green Chili,Cheese,Tomato,Fenugreek Leaves,,,,
Tamarind,Bell Peppers,Butter,Jam,Dals,Coconut,Ginger,,,,,
Lassi,Green Chili,Pickle,Mango,Coffee Powder,Mint Leaves,Bread,Capsicum,Cabbage,Sugar,Biscuits,Coriander
Potato,Papaya,Wheat Flour,Tomato,Garlic,Coriander,Bread,Coconut,Fenugreek Leaves,,,
Guava,Cabbage,Mint Leaves,Carrot,Jam,Bell Peppers,,,,,,
Curd,Milk,Ginger,Tamarind,Capsicum,,,,,,,
Bell Peppers,Mint Leaves,Brinjal,Tea Powder,Curd,Dals,Rice,Apple,Chili Powder,,,
Cumin Seeds,Cooking Oil,Beetroot,Apple,Turmeric Powder,Bread,Tea Powder,Dals,Green Chili,Potato,,
Cabbage,Okra,Rice,Tamarind,Spinach,,,,,,,
Chili Powder,Bell Peppers,Guava,Cauliflower,Turmeric Powder,,,,,,,
Biscuits,Pomegranate,Semolina,Pickle,Garlic,Spinach,Potato,,,,,
Cumin Seeds,Banana,Cheese,Okra,Potato,Bell Peppers,Coconut,Sugar,Milk,Mustard Seeds,,
Cooking Oil,Wheat Flour,Turmeric Powder,Biscuits,Honey,Carrot,Tamarind,Tomato,Beetroot,,,
Coconut,Honey,Sugar,Wheat Flour,Yogurt,,,,,,,
Spinach,Cabbage,Tea Powder,Beetroot,Rice,Besan,Cauliflower,Cumin Seeds,Orange,,,
Tamarind,Chili Powder,Carrot,Coriander,Tea Powder,Coconut,Pomegranate,Cheese,Fenugreek Leaves,,,
Salt,Carrot,Honey,Pomegranate,Mango,Orange,Dals,Bell Peppers,Turmeric Powder,Mint Leaves,Tea Powder,Besan
Chili Powder,Coconut,Mustard Seeds,Papaya,Butter,Dals,Onions,Wheat Flour,Besan,Bread,Tea Powder,Cumin Seeds
Tomato,Butter,Turmeric Powder,Mustard Seeds,Okra,Dals,Sooji,Tea Powder,Capsicum,Green Chili,Besan,
Paneer,Cabbage,Jam,Okra,Tomato,Curd,Pickle,Beetroot,Wheat Flour,Potato,,
Curd,Mint Leaves,Butter,Okra,Cabbage,Tomato,,,,,,
Coffee Powder,Wheat Flour,Papaya,Jam,Cauliflower,Mint Leaves,,,,,,
Semolina,Fenugreek Leaves,Yogurt,Wheat Flour,Biscuits,Tomato,Milk,Cheese,Cooking Oil,,,
Butter,Tomato,Cauliflower,Yogurt,Coconut,Papaya,Biscuits,,,,,
Green Chili,Sooji,Tomato,Guava,Milk,Turmeric Powder,Capsicum,Pomegranate,Beetroot,Onions,,
Honey,Mustard Seeds,Cauliflower,Besan,Orange,,,,,,,
Bread,Banana,Curd,Green Chili,Turmeric Powder,,,,,,,
Fenugreek Leaves,Butter,Mango,Lassi,Brinjal,Coffee Powder,Salt,Yogurt,,,,
Milk,Coriander,Honey,Okra,Besan,,,,,,,
Banana,Lemon,Potato,Guava,Cheese,Wheat Flour,Mustard Seeds,Okra,Besan,Tomato,Honey,
Sugar,Spinach,Paneer,Brinjal,Cooking Oil,Cumin Seeds,,,,,,
Chili Powder,Bell Peppers,Apple,Cheese,Turmeric Powder,Potato,Dals,Mint Leaves,,,,
Pomegranate,Curd,Cauliflower,Ginger,Orange,Bell Peppers,,,,,,
Tamarind,Orange,Mustard Seeds,Cabbage,Beetroot,Carrot,Onions,Cooking Oil,Bell Peppers,Bread,Garlic,
Sooji,Cabbage,Chili Powder,Green Chili,Butter,Milk,Dals,Coriander,Cumin Seeds,,,
Mustard Seeds,Banana,Cauliflower,Potato,Jam,Cheese,Tea Powder,Green Chili,Fenugreek Leaves,Honey,Beetroot,
Mango,Rice,Milk,Brinjal,Sooji,Carrot,Turmeric Powder,Wheat Flour,Garlic,Cheese,Coriander,Fenugreek Leaves
Pickle,Sooji,Carrot,Biscuits,Beetroot,Green Chili,Fenugreek Leaves,Okra,Honey,,,
Mustard Seeds,Besan,Tea Powder,Semolina,Coconut,,,,,,,
Bell Peppers,Dals,Sooji,Papaya,Cheese,Sugar,Yogurt,Rice,Besan,Potato,,
Pickle,Papaya,Ginger,Butter,Honey,,,,,,,
Besan,Ginger,Pickle,Green Chili,Wheat Flour,Mango,Sugar,Beetroot,Coffee Powder,,,
Ginger,Green Chili,Biscuits,Cabbage,Mango,Cheese,Bell Peppers,,,,,
Salt,Paneer,Cabbage,Tea Powder,Curd,Besan,Pomegranate,Tamarind,Mango,Onions,Mint Leaves,
Sooji,Banana,Papaya,Rice,Tamarind,Guava,,,,,,
Orange,Cooking Oil,Apple,Jam,Potato,Chili Powder,Cumin Seeds,Pickle,Honey,,,
